skill	_gstack-command	skills-dir	Router for the gstack skill suite. (gstack)
skill	adaptyv	skills-dir	How to use the Adaptyv Bio Foundry API and Python SDK for protein experiment design, submission, and results retrieval. Use this skill wh...
skill	aeon	skills-dir	This skill should be used for time series machine learning tasks including classification, regression, clustering, forecasting, anomaly d...
skill	analytical-method-validation	skills-dir	Plan, execute, and document validation, verification, and transfer of analytical procedures under the governing framework - ICH Q2(R2) an...
skill	anndata	skills-dir	Data structure for annotated matrices in single-cell analysis. Use when working with .h5ad files or integrating with the scverse ecosyste...
skill	arbor	skills-dir	Autonomously improve a real artifact (code, training recipe, agent harness, data pipeline, prompt) against an objective and an evaluator,...
skill	arboreto	skills-dir	Infer gene regulatory networks (GRNs) from gene expression data using scalable algorithms (GRNBoost2, GENIE3). Use when analyzing transcr...
skill	astropy	skills-dir	Core Python library for astronomy and astrophysics workflows that need Astropy APIs, including units/quantities, coordinates, FITS I/O, t...
skill	autoplan	skills-dir	Auto-review pipeline — reads the full CEO, design, eng, and DX review skills from disk and runs them sequentially with auto-decisions usi...
skill	autoskill	skills-dir	Observe the user's screen via screenpipe, detect repeated research workflows, match them against existing scientific-agent-skills, and dr...
skill	benchling-integration	skills-dir	Benchling Python SDK and REST API integration for registry entities, inventory, ELN entries, workflows, Benchling Apps, and Data Warehous...
skill	benchmark	skills-dir	Performance regression detection using the browse daemon. (gstack)
skill	benchmark-models	skills-dir	Cross-model benchmark for gstack skills. (gstack)
skill	bgpt-paper-search	skills-dir	Search scientific papers and retrieve structured experimental data extracted from full-text studies via the BGPT MCP server. Returns 25+ ...
skill	bids	skills-dir	Use this skill when working with Brain Imaging Data Structure (BIDS) datasets: organizing neuroscience and biomedical data (MRI, EEG, MEG...
skill	biopython	skills-dir	Comprehensive molecular biology toolkit. Use for sequence manipulation, file parsing (FASTA/GenBank/PDB), phylogenetics, and programmatic...
skill	bioservices	skills-dir	Unified Python interface to 40+ bioinformatics services. Use when querying multiple databases (UniProt, KEGG, ChEMBL, Reactome) in a sing...
skill	browse	skills-dir	Fast headless browser for QA testing and site dogfooding. (gstack)
skill	bulk-rnaseq	skills-dir	End-to-end bulk RNA-seq orchestrator — takes raw FASTQ reads through QC and trimming (FastQC, fastp/Trim Galore), alignment and quantific...
skill	canary	skills-dir	Post-deploy canary monitoring. (gstack)
skill	careful	skills-dir	Safety guardrails for destructive commands. (gstack)
skill	cellxgene-census	skills-dir	Query the CZ CELLxGENE Census programmatically for versioned public single-cell and spatial transcriptomics data. Use when you need popul...
skill	cirq	skills-dir	Google quantum computing framework. Use when targeting Google Quantum AI hardware, designing noise-aware circuits, or running quantum cha...
skill	citation-management	skills-dir	Comprehensive citation management for academic research. Search OpenAlex, PubMed, and Google Scholar for papers, extract accurate metadat...
skill	clinical-decision-support	skills-dir	Prepare and validate research-only clinical decision-support evaluation, evidence-profile, cohort, survival, biomarker/model, privacy, an...
skill	clinical-reports	skills-dir	Create safety-bounded draft structures and run local deterministic checks for clinical case, diagnostic, trial, safety, and aggregate res...
skill	cobrapy	skills-dir	Constraint-based metabolic modeling (COBRA). FBA, FVA, gene knockouts, flux sampling, SBML models, for systems biology and metabolic engi...
skill	codex	skills-dir	OpenAI Codex CLI wrapper — three modes. (gstack)
skill	connect-chrome	skills-dir	Launch GStack Browser — AI-controlled Chromium with the sidebar extension baked in.
skill	consciousness-council	skills-dir	Run a multi-perspective Mind Council deliberation on any question, decision, or creative challenge. Use this skill whenever the user want...
skill	context-restore	skills-dir	Restore working context saved earlier by /context-save. (gstack)
skill	context-save	skills-dir	Save working context. (gstack)
skill	cso	skills-dir	Chief Security Officer mode. (gstack)
skill	d3-viz	skills-dir	Creating interactive data visualisations using d3.js. This skill should be used when creating custom charts, graphs, network diagrams, ge...
skill	dask	skills-dir	Distributed computing for larger-than-RAM pandas/NumPy workflows. Use when you need to scale existing pandas/NumPy code beyond memory or ...
skill	database-lookup	skills-dir	Query documented public database APIs with explicit endpoints, filters, pagination, and provenance. Use when a scientific, regulatory, fi...
skill	datamol	skills-dir	Pythonic wrapper around RDKit with simplified interface and sensible defaults. Preferred for standard drug discovery including SMILES par...
